,QRef,Mean,Min,Max,Count,Avg
3891,303GEOQ2,0.403030303030303,0,2,330,0.2015151515151515
3892,303GEOQ3,0.6242424242424243,0,2,330,0.31212121212121213
3893,303GEOQ4,1.493939393939394,0,2,330,0.746969696969697
3894,303GEOQ5,0.6787878787878788,0,1,330,0.6787878787878788
3895,303GEOQ6,0.6666666666666666,0,1,330,0.6666666666666666
3896,303GEOQ7,0.8212121212121212,0,1,330,0.8212121212121212
3897,303GEOQ8,0.5848484848484848,0,1,330,0.5848484848484848
3898,303GEOQ9,0.6090909090909091,0,1,330,0.6090909090909091
3899,303GRAQ1,0.7840909090909091,0,1,352,0.7840909090909091
3900,303GRAQ10,0.689922480620155,0,1,258,0.689922480620155
3901,303GRAQ2,0.21639344262295082,0,1,305,0.21639344262295082
3902,303GRAQ3,0.6688524590163935,0,1,305,0.6688524590163935
3903,303GRAQ4,0.32786885245901637,0,1,305,0.32786885245901637
3904,303GRAQ5,0.5442622950819672,0,2,305,0.2721311475409836
3905,303GRAQ6,0.1901639344262295,0,1,305,0.1901639344262295
3906,303GRAQ7,0.6852459016393443,0,1,305,0.6852459016393443
3907,303GRAQ8,0.6229508196721312,0,1,305,0.6229508196721312
3908,303GRAQ9,0.5770491803278689,0,1,305,0.5770491803278689
3909,303MUSQ1,0.8130081300813008,0,2,369,0.4065040650406504
3910,303MUSQ10,0.5056603773584906,0,2,265,0.2528301886792453
3911,303MUSQ2,0.5962145110410094,0,1,317,0.5962145110410094
3912,303MUSQ3,0.501577287066246,0,1,317,0.501577287066246
3913,303MUSQ4,0.6908517350157729,0,1,317,0.6908517350157729
3914,303MUSQ5,0.3943217665615142,0,1,317,0.3943217665615142
3915,303MUSQ6,0.31230283911671924,0,1,317,0.31230283911671924
3916,303MUSQ7,0.668769716088328,0,1,317,0.668769716088328
3917,303MUSQ8,0.5962145110410094,0,1,317,0.5962145110410094
3918,303MUSQ9,0.6908517350157729,0,1,317,0.6908517350157729
3919,303SPOQ1,0.7698630136986301,0,1,365,0.7698630136986301
3920,303SPOQ10,0.7427536231884058,0,1,276,0.7427536231884058
3921,303SPOQ2,0.771875,0,1,320,0.771875
3922,303SPOQ3,0.446875,0,1,320,0.446875
3923,303SPOQ4,0.51875,0,1,320,0.51875
3924,303SPOQ5,0.84375,0,2,320,0.421875
3925,303SPOQ6,0.65,0,1,320,0.65
3926,303SPOQ7,0.809375,0,1,320,0.809375
3927,303SPOQ8,0.746875,0,1,320,0.746875
3928,303SPOQ9,0.853125,0,1,320,0.853125
3929,304ARTQ1,0.7621776504297995,0,1,349,0.7621776504297995
3930,304ARTQ10,0.46387832699619774,0,1,263,0.46387832699619774
3931,304ARTQ2,0.6045751633986928,0,1,306,0.6045751633986928
