,QRef,Mean,Min,Max,Count
0,000MUSQ1,0.0,0,0,4
1,000MUSQ10,0.0,0,0,4
2,000MUSQ2,0.0,0,0,4
3,000MUSQ3,0.0,0,0,4
4,000MUSQ4,0.0,0,0,4
5,000MUSQ5,0.0,0,0,4
6,000MUSQ6,0.0,0,0,4
7,000MUSQ7,0.0,0,0,4
8,000MUSQ8,0.0,0,0,4
9,000MUSQ9,0.0,0,0,4
10,001CHRQ1,0.6842105263157895,0,1,19
11,001CHRQ10,0.3333333333333333,0,1,9
12,001CHRQ2,0.5,0,1,16
13,001CHRQ3,1.6875,0,2,16
14,001CHRQ4,0.625,0,1,16
15,001CHRQ5,0.5,0,1,16
16,001CHRQ6,0.875,0,1,16
17,001CHRQ7,0.9375,0,1,16
18,001CHRQ8,0.1875,0,1,16
19,001CHRQ9,0.6875,0,1,16
20,001DISQ1,1.0,1,1,19
21,001DISQ10,0.6666666666666666,0,1,9
22,001DISQ2,1.0,1,1,15
23,001DISQ3,0.9333333333333333,0,1,15
24,001DISQ4,0.8666666666666667,0,1,15
25,001DISQ5,0.9333333333333333,0,1,15
26,001DISQ6,0.6666666666666666,0,1,15
27,001DISQ7,0.8666666666666667,0,1,15
28,001DISQ8,0.8666666666666667,0,1,15
29,001DISQ9,0.7333333333333333,0,1,15
30,001HALQ1,0.6842105263157895,0,1,19
31,001HALQ10,0.7777777777777778,0,1,9
32,001HALQ2,0.8823529411764706,0,1,17
33,001HALQ3,0.8823529411764706,0,2,17
34,001HALQ4,0.7058823529411765,0,1,17
35,001HALQ5,0.5882352941176471,0,1,17
36,001HALQ6,0.11764705882352941,0,1,17
37,001HALQ7,0.5882352941176471,0,1,17
38,001HALQ8,0.8235294117647058,0,1,17
39,001HALQ9,0.35294117647058826,0,1,17
40,001TEDQ1,0.2857142857142857,0,1,7
41,001TEDQ10,0.5714285714285714,0,1,7
42,001TEDQ2,0.5714285714285714,0,1,7
43,001TEDQ3,0.7142857142857143,0,1,7
44,001TEDQ4,0.5714285714285714,0,1,7
45,001TEDQ5,1.0,1,1,7
46,001TEDQ6,1.0,1,1,7
47,001TEDQ7,0.8571428571428571,0,1,7
48,001TEDQ8,0.42857142857142855,0,1,7
49,001TEDQ9,0.7142857142857143,0,2,7
50,002CHRQ1,0.6842105263157895,0,1,19
51,002CHRQ10,0.4444444444444444,0,1,9
52,002CHRQ2,0.75,0,2,16
53,002CHRQ3,0.5625,0,1,16
54,002CHRQ4,0.6875,0,1,16
55,002CHRQ5,0.5,0,1,16
56,002CHRQ6,0.625,0,1,16
57,002CHRQ7,0.25,0,1,16
58,002CHRQ8,0.8125,0,2,16
59,002CHRQ9,0.1875,0,1,16
60,002DISQ1,0.6842105263157895,0,1,19
61,002DISQ10,0.5555555555555556,0,1,9
62,002DISQ2,0.9333333333333333,0,2,15
63,002DISQ3,0.6,0,1,15
64,002DISQ4,0.8,0,1,15
65,002DISQ5,0.5333333333333333,0,1,15
66,002DISQ6,0.9333333333333333,0,1,15
67,002DISQ7,0.8,0,1,15
68,002DISQ8,0.7333333333333333,0,1,15
69,002DISQ9,0.7333333333333333,0,1,15
70,002GOTQ1,1.0,1,1,9
71,002GOTQ10,0.8888888888888888,0,1,9
72,002GOTQ2,0.6666666666666666,0,1,9
73,002GOTQ3,0.2222222222222222,0,1,9
74,002GOTQ4,0.6666666666666666,0,1,9
75,002GOTQ5,1.0,1,1,9
76,002GOTQ6,0.4444444444444444,0,1,9
77,002GOTQ7,0.2222222222222222,0,1,9
78,002GOTQ8,2.6666666666666665,0,3,9
79,002GOTQ9,0.4444444444444444,0,1,9
80,002HALQ1,0.8421052631578947,0,1,19
81,002HALQ10,0.7777777777777778,0,1,9
